Voucher,UniqueID,SpeciesID,SVL,HL,HW,EN,IND,ED,IOD,FAL,HaL,TL,FL,ThL,NS,FTD,FTW,TTD,TTW,FAW,CanthalOC,EyelidOC,PostOC
ANC123,1ANC123,Datapturanus sp. Png,19.2,4.55,3.95,1.5,0.93,0.92,4.18,3.3,3.07,7.92,8.15,6.99,0.86,0.28,0.32,0.4,0.32,0.92,0,0,0
ANC123,2ANC123,Datapturanus sp. Png,18.42,4.09,4.05,1.46,1.22,1.01,3.86,3.42,3.11,7.33,7.85,6.89,0.83,0.25,0.34,0.41,0.31,0.88,0,0,0
ANC123,3ANC123,Datapturanus sp. Png,18.96,4.41,3.98,1.51,1.09,0.97,4.07,3.28,3.18,7.14,8.11,6.9,0.89,0.29,0.3,0.39,0.35,0.93,0,0,0
ANC124,1ANC124,Datapturanus sp. Png,15.76,3.22,2.01,1.24,0.95,1.05,2.88,2.61,3.02,5.85,6,5.1,0.48,0.26,0.32,0.34,0.32,0.98,2,2,1
ANC124,2ANC124,Datapturanus sp. Png,14.91,3,2.51,1.29,1.08,0.95,3.01,2.74,3.05,5.83,6.13,5.06,0.54,0.22,0.31,0.34,0.29,1.02,2,2,1
ANC124,3ANC124,Datapturanus sp. Png,14.59,2.96,2.26,1.2,0.87,1.02,3.16,2.85,3.11,5.83,6.01,5.1,0.54,0.2,0.34,0.31,0.29,1.07,2,2,1
ANC125,1ANC125,Datapturanus sp. Bsky,32.25,6.51,6.8,2.5,1.72,1.56,5.37,5.3,6.06,12.19,13.05,13.14,1.44,0.4,0.63,0.7,0.78,2.39,1,1,0
ANC125,2ANC125,Datapturanus sp. Bsky,32.31,6.28,6.74,2.31,2.01,1.62,4.96,5.21,5.98,12.24,13.24,12.85,1.47,0.43,0.6,0.64,0.82,2.41,1,1,0
ANC125,3ANC125,Datapturanus sp. Bsky,32.55,6.19,6.74,2.46,1.8,1.5,5.24,5.33,5.96,12.19,12.86,13.08,1.43,0.46,0.6,0.75,0.84,2.31,1,1,0
ANC126,1ANC126,Datapturanus sp. Bsky,37.92,6.73,6.79,2.57,1.93,1.55,6.28,5.27,7.07,13.2,13.38,14.07,1.85,0.52,0.95,0.95,0.84,2.54,0,0,0
ANC126,2ANC126,Datapturanus sp. Bsky,37.78,6.33,6.81,2.52,1.97,1.57,6.19,5.54,7.25,13.23,13.5,14.26,1.71,0.54,0.78,0.97,0.78,2.45,0,0,0
ANC126,3ANC126,Datapturanus sp. Bsky,37.52,6.82,6.62,2.59,1.85,1.53,6.14,5.5,7.05,13.31,13.54,14.16,1.69,0.57,0.74,0.89,0.76,2.4,0,0,0
ANC127,1ANC127,Datapturanus sp. Bsky,36.01,6.33,6.64,2.66,2.17,1.32,5.68,5.39,5.98,12.45,12.15,13.49,1.76,0.41,0.68,0.89,0.82,2.87,1,1,0
ANC127,2ANC127,Datapturanus sp. Bsky,35.83,6.27,6.85,2.71,2.35,1.3,5.9,5.22,6.32,12.37,12.2,13.5,1.82,0.45,0.64,0.84,0.84,2.76,1,1,0
ANC127,3ANC127,Datapturanus sp. Bsky,35.83,6.79,6.66,2.66,2.09,1.34,5.86,5.44,6.26,12.59,12.23,13.38,1.74,0.46,0.65,0.87,0.84,2.9,1,1,0
ANC128,1ANC128,Datapturanus sp. Ibge,21.33,4.23,5.38,1.61,1.91,1.41,4.55,3.51,3.88,8.94,10.33,9.06,1,0.35,0.41,0.62,0.61,1.33,1,2,0
ANC128,2ANC128,Datapturanus sp. Ibge,21.5,4.31,4.91,1.56,1.73,1.49,4.3,3.47,3.97,8.92,10.13,9.4,1,0.34,0.45,0.61,0.53,1.01,1,2,0
ANC128,3ANC128,Datapturanus sp. Ibge,21.38,4.33,5.02,1.55,1.72,1.47,4.41,3.54,3.96,8.97,10.3,9.48,0.97,0.39,0.41,0.65,0.52,1.28,1,2,0
ANC129,1ANC129,Datapturanus sp. Ibge,20.08,4,4.6,1.69,1.43,1.29,4.2,2.96,3.45,8.33,9.06,8.01,0.88,0.49,0.37,0.75,0.45,1.17,2,2,0
ANC129,2ANC129,Datapturanus sp. Ibge,19.92,3.73,4.78,1.59,1.42,1.35,4.27,2.89,3.66,8.37,8.99,8.34,0.77,0.44,0.44,0.74,0.54,1.12,2,2,0
ANC129,3ANC129,Datapturanus sp. Ibge,20.04,3.79,4.54,1.7,1.4,1.29,4.09,3,3.4,8.4,8.92,8.13,0.74,0.43,0.4,0.72,0.48,0.98,2,2,0
ANC130,1ANC130,Datapturanus sp. Png,17.1,3.89,3.7,1.83,1.32,0.97,1.94,3.38,3.04,7.3,7.03,6.9,0.84,0.27,0.18,0.29,0.44,0.84,0,0,0
ANC130,2ANC130,Datapturanus sp. Png,17.8,3.52,3.56,1.7,1.17,1.11,2.54,3.25,2.91,7.1,7.34,6.69,0.88,0.3,0.2,0.3,0.41,0.73,0,0,0
ANC130,3ANC130,Datapturanus sp. Png,17.36,3.59,3.39,1.63,1.23,1.1,2.4,3.1,3.04,7.11,7.16,6.61,0.86,0.24,0.24,0.34,0.46,0.8,0,0,0
ANC131,1ANC131,Datapturanus sp. Ibge,21.81,4.02,4.81,1.57,1.28,1.29,4.23,3.17,3.55,9.21,9.66,9.14,0.85,0.36,0.5,0.86,0.62,1.33,2,2,0
ANC131,2ANC131,Datapturanus sp. Ibge,22.06,4.13,5.01,1.62,1.33,1.37,4.21,3.14,3.7,9.17,9.63,9.29,0.97,0.38,0.47,0.85,0.65,1.18,2,2,0
ANC131,3ANC131,Datapturanus sp. Ibge,21.86,4.15,4.83,1.68,1.3,1.37,4.24,3.17,3.68,9.13,9.4,8.94,0.84,0.36,0.49,0.79,0.58,1.19,2,2,0
s/n,1s/n,Datapturanus sp. Naturalist,17.62,3.78,3.82,1.52,0.92,0.93,3.7,3.33,3.01,7.16,7.99,7.81,0.96,0.38,0.29,0.52,0.37,0.89,2,2,?
s/n,2s/n,Datapturanus sp. Naturalist,17.22,3.74,3.49,1.63,1.27,0.98,3.38,3.67,3.34,7.76,7.59,7.43,1.11,0.27,0.35,0.38,0.47,1.1,2,2,?
s/n,1s/n,Datapturanus sp. Naturalist,17.3,4.02,3.34,1.42,1.15,1.2,3.65,3.69,3.3,7.74,7.51,7.47,1.02,0.26,0.32,0.4,0.36,1.15,2,2,?
